"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GF1","KA1","KA2","MD1","MW1","OD1","REM","EQD"
"04085099999","2010-01-01T09:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","220,1,N,0031,1","01200,1,9,N","075000,1,N,1","-0023,1","-0064,1","10276,1",,,,,"06,99,1,06,1,05,1,01250,1,00,1,00,1","999,M,-0014,1","999,N,-0032,1","4,1,000,1,+999,9",,"3,03,0031,9,999","SYN092AAXX  01093 04085 32689 62206 11023 21064 40276 54000 86500 333 11014 21032 555 3//06 44040;",
"04085099999","2010-01-01T12:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","220,1,N,0026,1","01200,1,9,N","075000,1,N,1","-0040,1","-0074,1","10294,1",,,,,"05,99,1,05,1,05,1,01250,1,00,1,00,1",,,"2,1,017,1,+999,9",,,"SYN070AAXX  01123 04085 42689 52205 11040 21074 40294 52017 85500 555 3//07;",
"04085099999","2010-01-01T15:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","230,1,N,0031,1","22000,1,9,N","075000,1,N,1","-0056,1","-0087,1","10303,1",,,,,"02,99,1,01,1,05,1,01250,1,01,1,00,1",,,"2,1,009,1,+999,9",,,"SYN070AAXX  01153 04085 42689 22306 11056 21087 40303 52009 81510 555 3//09;",
"04085099999","2010-01-01T18:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","210,1,N,0026,1","22000,1,9,N","075000,1,N,1","-0070,1","-0109,1","10319,1",,,,,"02,99,1,01,1,05,1,01250,1,01,1,00,1","999,M,-0020,1","999,N,-0076,1","2,1,015,1,+999,9",,,"SYN086AAXX  01183 04085 32689 22105 11070 21109 40319 52015 81510 333 11020 21076 555 3//08;",
"04085099999","2010-01-01T21:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","210,1,N,0046,1","22000,1,9,N","075000,1,N,1","-0078,1","-0119,1","10342,1",,,,,"04,99,1,04,1,05,1,01250,1,00,1,00,1",,,"2,1,023,1,+999,9",,,"SYN070AAXX  01213 04085 42689 42109 11078 21119 40342 52023 84500 555 3//10;",
"04085099999","2010-01-02T09:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","200,1,N,0026,1","22000,1,9,N","075000,1,N,1","-0076,1","-0138,1","10376,1",,,,,"02,99,1,02,1,00,1,01750,1,04,1,00,1","999,M,-0054,1","999,N,-0115,1","2,1,012,1,+999,9",,"3,03,0041,9,999","SYN092AAXX  02093 04085 32789 22005 11076 21138 40376 52012 82040 333 11054 21115 555 3//08 44040;",
"04085099999","2010-01-02T12:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","220,1,N,0031,1","22000,1,9,N","075000,1,N,1","-0060,1","-0148,1","10381,1",,,,,"01,99,1,01,1,05,1,01250,1,00,1,00,1",,,"2,1,005,1,+999,9",,,"SYN070AAXX  02123 04085 42689 12206 11060 21148 40381 52005 81500 555 3//10;",
"04085099999","2010-01-02T15:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","180,1,N,0031,1","22000,1,9,N","075000,1,N,1","-0045,1","-0112,1","10382,1",,,,,"02,99,1,02,1,05,1,00800,1,00,1,00,1",,,"2,1,001,1,+999,9",,,"SYN070AAXX  02153 04085 42589 21806 11045 21112 40382 52001 82500 555 3//10;",
"04085099999","2010-01-02T18:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","230,1,N,0026,1","22000,1,9,N","075000,1,N,1","-0042,1","-0069,1","10376,1",,,,,"02,99,1,02,1,05,1,01250,1,00,1,00,1","999,M,-0020,1","999,N,-0092,1","7,1,006,1,+999,9",,,"SYN086AAXX  02183 04085 32689 22305 11042 21069 40376 57006 82500 333 11020 21092 555 3//11;",
"04085099999","2010-01-02T21:00:00","4","65.75","-14.8333333","48.0","SKJALDTHINGSSTADIR, IC","FM-12","BIVO ","V020","220,1,N,0031,1","22000,1,9,N","075000,1,N,1","-0043,1","-0066,1","10383,1",,,,,"02,99,1,02,1,05,1,01250,1,00,1,00,1",,,"2,1,007,1,+999,9",,,"SYN070AAXX  02213 04085 42689 22206 11043 21066 40383 52007 82500 555 3//09;",
