"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AJ1","AY1","AY2","GA1","GF1","GJ1","IA1","IA2","KA1","MA1","MD1","ME1","MW1","REM","EQD"
"08148099999","2010-01-04T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","170,1,N,0010,1","00120,1,9,N","000200,1,N,1","+0028,1","+0028,1","99999,9","12,0005,9,1","24,0043,9,1",,"4,1,06,1","2,1,06,1",,"08,99,1,08,1,06,1,00150,1,99,9,99,9",,"11,9","999,+0010,9","999,N,+0024,1","99999,9,08874,1","8,1,021,1,+999,9","3,1429,9","46,1","SYN106AAXX  04064 08148 11202 81702 10028 20028 38874 48429 58021 69962 74642 886// 333 20024 32001 55/// 70044;",
"08148099999","2010-01-04T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","170,1,N,0005,1","00060,1,9,N","000300,1,N,1","+0024,1","+0020,1","99999,9",,,,"4,1,03,1","4,1,03,1",,"08,99,1,08,1,06,1,00075,1,99,9,99,9",,,,,"99999,9,08871,1","5,1,003,1,+999,9","3,1426,9","42,1","SYN072AAXX  04094 08148 41103 81701 10024 20020 38871 48426 55003 74244 886//;",
"08148099999","2010-01-04T12:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","040,1,N,0026,1","00060,1,9,N","000800,1,N,1","+0040,1","+0036,1","99999,9","06,0000,9,1",,,"4,1,06,1","4,1,06,1",,"08,99,1,08,1,06,1,00075,1,99,9,99,9",,,,,"99999,9,08844,1","8,1,027,1,+999,9","3,1404,9","42,1","SYN078AAXX  04124 08148 11108 80405 10040 20036 38844 48404 58027 60001 74244 886//;","Q01  00002PRCP06"
"08148099999","2010-01-05T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","030,1,N,0031,1","00420,1,9,N","010000,1,N,1","+0032,1","+0023,1","99999,9","12,0079,9,1","24,0114,9,1",,,,,"07,99,1,07,1,06,1,00450,1,00,1,00,1","0000,9","09,9","999,+0020,9","999,N,+0026,1","99999,9,08778,1","8,1,003,1,+999,9","3,1342,9",,"SYN100AAXX  05064 08148 12460 70306 10032 20023 38778 48342 58003 60082 87600 333 20026 31002 55000 70114;",
"08148099999","2010-01-05T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","040,1,N,0031,1","00420,1,9,N","010000,1,N,1","+0038,1","+0020,1","99999,9",,,,"8,1,03,1","2,1,03,1",,"07,99,1,05,1,07,1,00450,1,07,1,00,1",,,,,"99999,9,08776,1","8,1,002,1,+999,9","3,1341,9","25,1","SYN072AAXX  05094 08148 41460 70406 10038 20020 38776 48341 58002 72582 85770;",
"08148099999","2010-01-11T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","280,1,N,0015,1","22000,1,9,N","010000,1,N,1","-0056,1","-0063,1","99999,9","12,0008,9,1","24,0008,9,1","0002,9,1,999999,9,9","7,1,06,1","2,1,06,1",,"03,99,1,03,1,06,1,00250,1,00,1,00,1","0342,9","30,9","999,-0080,9","999,N,-0058,1","99999,9,08868,1","3,1,003,1,+999,9","3,1413,9","01,1","SYN112AAXX  11064 08148 11360 32803 11056 21063 38868 48413 53003 69982 70172 83600 333 21058 3/108 42002 55057 70008;",
"08148099999","2010-01-11T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","999,9,C,0000,1","00420,1,9,N","010000,1,N,1","-0054,1","-0061,1","99999,9",,,,,,,"07,99,1,07,1,07,1,00450,1,00,1,00,1",,,,,"99999,9,08881,1","3,1,013,1,+999,9","3,1425,9",,"SYN066AAXX  11094 08148 42460 70000 11054 21061 38881 48425 53013 87700;",
"08148099999","2010-01-12T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","220,1,N,0026,1","00120,1,9,N","003000,1,N,1","-0016,1","-0022,1","99999,9","12,9999,9,9","24,9999,9,9","0002,9,1,999999,9,9","5,1,06,1","2,1,06,1",,"08,99,1,08,1,06,1,00150,1,99,9,99,9","0204,9","25,9","999,-0050,9","999,N,-0020,1","99999,9,08905,1","5,1,011,1,+999,9","3,1451,9","50,1","SYN112AAXX  12064 08148 11230 82205 11016 21022 38905 48451 55011 69902 75052 886// 333 21020 3/105 41002 55034 79999;","Q01  00002PRCP24Q02  00002PRCP12Q03  00002PRCP12Q04  00002PRCP24"
"08148099999","2010-01-12T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","220,1,N,0021,1","00120,1,9,N","003000,1,N,1","-0014,1","-0020,1","99999,9",,,,"7,1,03,1","5,1,03,1",,"08,99,1,08,1,06,1,00150,1,99,9,99,9",,,,,"99999,9,08888,1","7,1,017,1,+999,9","3,1436,9","23,1","SYN072AAXX  12094 08148 41230 82204 11014 21020 38888 48436 57017 72375 886//;",
"08148099999","2010-01-12T12:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","220,1,N,0031,1","00210,1,9,N","004000,1,N,1","+0008,1","-0002,1","99999,9","06,0010,9,1",,,"7,1,06,1","5,1,06,1",,"08,99,1,08,1,07,1,00250,1,99,9,99,9",,,,,"99999,9,08856,1","6,1,032,1,+999,9","3,1411,9","79,1","SYN088AAXX  12124 08148 11340 82206 10008 21002 38856 48411 56032 60011 77975 887// 333 5///0;",
"08148099999","2010-01-13T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","270,1,N,0067,1","00420,1,9,N","010000,1,N,1","+0020,1","-0001,1","99999,9","12,0005,9,1","24,0061,9,1","9999,3,9,999999,9,9",,,,"05,99,1,05,1,05,1,00450,1,00,1,00,1","0000,9","21,9","999,+0000,9","999,N,+0010,1","99999,9,08869,1","5,1,000,1,+999,9","3,1424,9",,"SYN106AAXX  13064 08148 12460 52713 10020 21001 38869 48424 55000 69962 85500 333 20010 3/000 45997 55000 70062;","Q01  09972SNDP  "
"08148099999","2010-01-13T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","240,1,N,0062,1","00420,1,9,N","010000,1,N,1","+0018,1","+0008,1","99999,9",,,,"5,1,03,1","2,1,03,1",,"07,99,1,06,1,05,1,00450,1,05,1,00,1",,,,,"99999,9,08887,1","3,1,018,1,+999,9","3,1440,9","50,1","SYN072AAXX  13094 08148 41460 72412 10018 20008 38887 48440 53018 75052 86550;",
"08148099999","2010-01-14T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","230,1,N,0082,1","00120,1,9,N","002000,1,N,1","+0056,1","+0047,1","99999,9","12,0191,9,1","24,0201,9,1",,"6,1,06,1","6,1,06,1",,"08,99,1,08,1,07,1,00150,1,99,9,99,9","0006,9","11,9","999,+0020,9","999,N,+0026,1","99999,9,08718,1","6,1,021,1,+999,9","3,1289,9","61,1","SYN106AAXX  14064 08148 11220 82316 10056 20047 38718 48289 56021 60192 76166 887// 333 20026 32002 55001 70200;",
"08148099999","2010-01-14T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","270,1,N,0108,1","00210,1,9,N","005000,1,N,1","+0032,1","+0013,1","99999,9",,,,"7,1,03,1","6,1,03,1",,"08,99,1,08,1,07,1,00250,1,99,9,99,9",,,,,"99999,9,08738,1","3,1,020,1,+999,9","3,1305,9","68,1","SYN072AAXX  14094 08148 41350 82721 10032 20013 38738 48305 53020 76876 887//;",
"08148099999","2010-01-15T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","250,1,N,0015,1","22000,1,9,N","030000,1,N,1","+0006,1","-0016,1","99999,9","12,0000,9,1","24,0114,9,1",,,,"00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1","0000,9","09,9","999,-0020,9","999,N,+0000,1","99999,9,08960,1","3,1,015,1,+999,9","3,1503,9",,"SYN094AAXX  15064 08148 12980 02503 10006 21016 38960 48503 53015 60002 333 20000 31102 55000 70114;","Q01  00002PRCP12"
"08148099999","2010-01-15T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","220,1,N,0026,1","03600,1,9,N","001000,1,N,1","-0012,1","-0018,1","99999,9",,,,"4,1,03,1","0,1,03,1",,"07,99,1,02,1,06,1,00150,1,04,1,04,1",,,,,"99999,9,08981,1","2,1,021,1,+999,9","3,1519,9","40,1","SYN072AAXX  15094 08148 41210 72205 11012 21018 38981 48519 52021 74040 82644;",
"08148099999","2010-01-15T12:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","230,1,N,0015,1","22000,1,9,N","030000,1,N,1","+0052,1","+0004,1","99999,9","06,0000,9,1",,,"4,1,06,1","2,1,06,1",,"06,99,1,01,1,00,1,02250,1,04,1,04,1",,,,,"99999,9,08979,1","8,1,002,1,+999,9","3,1528,9","01,1","SYN088AAXX  15124 08148 11880 62303 10052 20004 38979 48528 58002 60001 70142 81044 333 5///0;","Q01  00002PRCP06"
"08148099999","2010-01-18T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","999,9,C,0000,1","00120,1,9,N","000300,1,N,1","+0052,1","+0048,1","99999,9","12,0010,9,1","24,0020,9,1",,"5,1,06,1","4,1,06,1",,"08,99,1,08,1,06,1,00150,1,99,9,99,9","0000,9","09,9","999,+0050,9","999,N,+0046,1","99999,9,08970,1","6,1,004,1,+999,9","3,1520,9","46,1","SYN106AAXX  18064 08148 11203 80000 10052 20048 38970 48520 56004 60012 74654 886// 333 20046 31005 55000 70020;",
"08148099999","2010-01-18T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","050,1,N,0015,1","00120,1,9,N","000400,1,N,1","+0060,1","+0056,1","99999,9",,,,"5,1,03,1","4,1,03,1",,"08,99,1,08,1,06,1,00150,1,99,9,99,9",,,,,"99999,9,08965,1","8,1,005,1,+999,9","3,1517,9","42,1","SYN072AAXX  18094 08148 41204 80503 10060 20056 38965 48517 58005 74254 886//;",
"08148099999","2010-01-19T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","200,1,N,0021,1","00120,1,9,N","002000,1,N,1","+0064,1","+0060,1","99999,9","12,0008,9,1","24,0008,9,1",,"8,1,06,1","2,1,06,1",,"08,99,1,08,1,07,1,00150,1,99,9,99,9","0060,9","09,9","999,+0050,9","999,N,+0056,1","99999,9,08942,1","6,1,007,1,+999,9","3,1496,9","50,1","SYN106AAXX  19064 08148 11220 82004 10064 20060 38942 48496 56007 69972 75082 887// 333 20056 31005 55010 70008;",
"08148099999","2010-01-19T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","200,1,N,0031,1","00210,1,9,N","003000,1,N,1","+0066,1","+0062,1","99999,9",,,,"6,1,03,1","2,1,03,1",,"07,99,1,06,1,07,1,00250,1,00,1,04,1",,,,,"99999,9,08945,1","3,1,003,1,+999,9","3,1499,9","60,1","SYN072AAXX  19094 08148 41330 72006 10066 20062 38945 48499 53003 76062 86704;",
"08148099999","2010-01-19T12:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","240,1,N,0046,1","00420,1,9,N","005000,1,N,1","+0090,1","+0075,1","99999,9","06,0005,9,1",,,"8,1,06,1","6,1,06,1",,"06,99,1,05,1,05,1,00450,1,00,1,04,1",,,,,"99999,9,08938,1","8,1,007,1,+999,9","3,1497,9","80,1","SYN088AAXX  19124 08148 11450 62409 10090 20075 38938 48497 58007 69941 78086 85504 333 50080;",
"08148099999","2010-01-20T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","280,1,N,0046,1","22000,1,9,N","020000,1,N,1","+0034,1","+0014,1","99999,9","12,0000,9,1","24,0020,9,1",,,,,"04,99,1,04,1,05,1,00450,1,00,1,00,1","0192,9","09,9","999,+0020,9","999,N,+0028,1","99999,9,08935,1","3,1,001,1,+999,9","3,1485,9",,"SYN100AAXX  20064 08148 12470 42809 10034 20014 38935 48485 53001 60002 84500 333 20028 31002 55032 70020;","Q01  00002PRCP12"
"08148099999","2010-01-20T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","260,1,N,0021,1","00120,1,9,N","003000,1,N,1","+0040,1","+0031,1","99999,9",,,,"8,1,03,1","2,1,03,1",,"08,99,1,08,1,07,1,00150,1,99,9,99,9",,,,,"99999,9,08945,1","3,1,010,1,+999,9","3,1495,9","80,1","SYN072AAXX  20094 08148 41230 82604 10040 20031 38945 48495 53010 78082 887//;",
"08148099999","2010-01-21T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","020000,1,N,1","+0010,1","-0006,1","99999,9","12,0000,9,1","24,0015,9,1",,,,,"02,99,1,01,1,04,1,00450,1,04,1,00,1","0288,9","09,9","999,-0020,9","999,N,+0004,1","99999,9,08967,1","6,1,001,1,+999,9","3,1510,9",,"SYN100AAXX  21064 08148 12470 20000 10010 21006 38967 48510 56001 60002 81440 333 20004 31102 55048 70014;","Q01  00002PRCP12"
"08148099999","2010-01-21T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","999,9,C,0000,1","03600,1,9,N","030000,1,N,1","+0006,1","+0000,1","99999,9",,,,,,,"07,99,1,01,1,04,1,00450,1,03,1,04,1",,,,,"99999,9,08975,1","3,1,008,1,+999,9","3,1517,9",,"SYN066AAXX  21094 08148 42480 70000 10006 20000 38975 48517 53008 81434;",
"08148099999","2010-01-21T12:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","290,1,N,0041,1","03600,1,9,N","030000,1,N,1","+0070,1","+0013,1","99999,9","06,0000,9,1",,,,,,"07,99,1,03,1,04,1,00450,1,04,1,05,1",,,,,"99999,9,08974,1","8,1,001,1,+999,9","3,1526,9",,"SYN082AAXX  21124 08148 12480 72908 10070 20013 38974 48526 58001 60001 83445 333 5///0;","Q01  00002PRCP06"
"08148099999","2010-01-22T06:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","290,1,N,0036,1","22000,1,9,N","030000,1,N,1","+0028,1","+0018,1","99999,9","12,0000,9,1","24,0000,9,1",,,,,"01,99,1,01,1,00,1,02250,1,05,1,00,1","0096,9","09,9","999,-0020,9","999,N,-0004,1","99999,9,08959,1","6,1,005,1,+999,9","3,1506,9",,"SYN100AAXX  22064 08148 12880 12907 10028 20018 38959 48506 56005 60002 81050 333 21004 31102 55016 70000;","Q01  00002PRCP24Q02  00002PRCP12"
"08148099999","2010-01-22T09:00:00","4","41.7833333","-2.4833333","1082.0","SORIA, SP","FM-12","99999","V020","110,1,N,0005,1","09000,1,9,N","025000,1,N,1","+0028,1","+0013,1","99999,9",,,,,,,"06,99,1,01,1,04,1,00450,1,04,1,04,1",,,,,"99999,9,08961,1","3,1,002,1,+999,9","3,1508,9",,"SYN066AAXX  22094 08148 42475 61101 10028 20013 38961 48508 53002 81444;",
