"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04203099999","2010-05-25T00:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0024,1","+9999,9","10235,1","99999,9,10221,1","2,1,014,1,+999,9",,"SYN054AAXX  25004 04203 46/// /1908 11024 30221 40235 52014;",
"04203099999","2010-05-25T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0021,1","+9999,9","10247,1","99999,9,10233,1","2,1,012,1,+999,9",,"SYN054AAXX  25034 04203 46/// /1905 11021 30233 40247 52012;",
"04203099999","2010-05-25T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0033,1","+9999,9","10248,1","99999,9,10234,1","2,1,001,1,+999,9",,"SYN054AAXX  25064 04203 46/// /1907 11033 30234 40248 52001;",
"04203099999","2010-05-25T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0028,1","+9999,9","10258,1","99999,9,10244,1","2,1,010,1,+999,9",,"SYN054AAXX  25094 04203 46/// /2007 11028 30244 40258 52010;",
"04203099999","2010-05-25T12:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0027,1","-0095,1","10265,1","99999,9,10251,1","2,1,007,1,+999,9",,"SYN060AAXX  25124 04203 46/// /1905 11027 21095 30251 40265 52007;",
"04203099999","2010-05-25T15:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0017,1","-0149,1","10279,1","99999,9,10265,1","2,1,014,1,+999,9",,"SYN060AAXX  25154 04203 46/// /2004 11017 21149 30265 40279 52014;",
"04203099999","2010-05-25T18:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0036,1","+9999,9","10287,1","99999,9,10273,1","2,1,008,1,+999,9",,"SYN054AAXX  25184 04203 46/// /2010 11036 30273 40287 52008;",
"04203099999","2010-05-25T21:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","999999,9,N,1","-0038,1","+9999,9","10295,1","99999,9,10281,1","2,1,008,1,+999,9",,"SYN054AAXX  25214 04203 46/// /2012 11038 30281 40295 52008;",
"04203099999","2010-05-26T00:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0040,1","-0166,1","10305,1","99999,9,10291,1","2,1,010,1,+999,9",,"SYN060AAXX  26004 04203 46/// /1910 11040 21166 30291 40305 52010;",
"04203099999","2010-05-26T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0048,1","+9999,9","10305,1","99999,9,10291,1","4,1,000,1,+999,9",,"SYN054AAXX  26034 04203 46/// /1911 11048 30291 40305 54000;",
"04203099999","2010-05-26T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0041,1","+9999,9","10302,1","99999,9,10288,1","7,1,003,1,+999,9",,"SYN054AAXX  26064 04203 46/// /2010 11041 30288 40302 57003;",
"04203099999","2010-05-26T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0041,1","99999,9,9,N","999999,9,N,1","-0043,1","+9999,9","10299,1","99999,9,10285,1","7,1,003,1,+999,9",,"SYN054AAXX  26094 04203 46/// /1908 11043 30285 40299 57003;",
"04203099999","2010-05-26T12:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0039,1","+9999,9","10292,1","99999,9,10278,1","7,1,007,1,+999,9",,"SYN054AAXX  26124 04203 46/// /1909 11039 30278 40292 57007;",
"04203099999","2010-05-26T15:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0038,1","+9999,9","10278,1","99999,9,10264,1","7,1,014,1,+999,9",,"SYN054AAXX  26154 04203 46/// /1910 11038 30264 40278 57014;",
"04203099999","2010-05-26T18:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0026,1","99999,9,9,N","999999,9,N,1","-0037,1","+9999,9","10277,1","99999,9,10263,1","7,1,001,1,+999,9",,"SYN054AAXX  26184 04203 46/// /1905 11037 30263 40277 57001;",
"04203099999","2010-05-26T21:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0045,1","+9999,9","10272,1","99999,9,10258,1","7,1,005,1,+999,9",,"SYN054AAXX  26214 04203 46/// /1904 11045 30258 40272 57005;",
"04203099999","2010-05-27T00:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","200,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0060,1","+9999,9","10272,1","99999,9,10258,1","4,1,000,1,+999,9",,"SYN054AAXX  27004 04203 46/// /2009 11060 30258 40272 54000;",
"04203099999","2010-05-27T03:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0040,1","+9999,9","10271,1","99999,9,10257,1","7,1,001,1,+999,9",,"SYN054AAXX  27034 04203 46/// /1904 11040 30257 40271 57001;",
"04203099999","2010-05-27T06:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0015,1","99999,9,9,N","999999,9,N,1","-0039,1","+9999,9","10271,1","99999,9,10257,1","4,1,000,1,+999,9",,"SYN054AAXX  27064 04203 46/// /1903 11039 30257 40271 54000;",
"04203099999","2010-05-27T09:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0039,1","+9999,9","10270,1","99999,9,10256,1","7,1,001,1,+999,9",,"SYN054AAXX  27094 04203 46/// /1909 11039 30256 40270 57001;",
"04203099999","2010-05-27T12:00:00","4","76.6333333","-73.0","11.0","KITSISSUT CAREY OEER, GL","FM-12","99999","V020","190,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0036,1","+9999,9","10271,1","99999,9,10257,1","2,1,001,1,+999,9",,"SYN054AAXX  27124 04203 46/// /1906 11036 30257 40271 52001;",
