"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04266099999","2010-01-01T00:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","110,1,N,0159,1","99999,9,9,N","999999,9,N,1","+0038,1","-0018,1","10276,1","99999,9,10235,1","2,1,030,1,+999,9",,"SYN060AAXX  01004 04266 46/// /1131 10038 21018 30235 40276 52030;",
"04266099999","2010-01-01T03:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","110,1,N,0154,1","99999,9,9,N","999999,9,N,1","+0033,1","-0023,1","10299,1","99999,9,10257,1","2,1,022,1,+999,9",,"SYN060AAXX  01034 04266 46/// /1130 10033 21023 30257 40299 52022;",
"04266099999","2010-01-01T06:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","100,1,N,0164,1","99999,9,9,N","999999,9,N,1","+0037,1","-0019,1","10313,1","99999,9,10271,1","2,1,014,1,+999,9",,"SYN060AAXX  01064 04266 46/// /1032 10037 21019 30271 40313 52014;",
"04266099999","2010-01-01T09:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","100,1,N,0159,1","99999,9,9,N","999999,9,N,1","+0039,1","-0017,1","10325,1","99999,9,10283,1","2,1,012,1,+999,9",,"SYN060AAXX  01094 04266 46/// /1031 10039 21017 30283 40325 52012;",
"04266099999","2010-01-01T12:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","100,1,N,0103,1","99999,9,9,N","999999,9,N,1","+0038,1","-0018,1","10336,1","99999,9,10294,1","2,1,011,1,+999,9",,"SYN060AAXX  01124 04266 46/// /1020 10038 21018 30294 40336 52011;",
"04266099999","2010-01-01T15:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","080,1,N,0072,1","99999,9,9,N","999999,9,N,1","+0022,1","-0033,1","10337,1","99999,9,10295,1","2,1,001,1,+999,9",,"SYN060AAXX  01154 04266 46/// /0814 10022 21033 30295 40337 52001;",
"04266099999","2010-01-01T18:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","050,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0028,1","-0030,1","10336,1","99999,9,10294,1","7,1,001,1,+999,9",,"SYN060AAXX  01184 04266 46/// /0508 10028 21030 30294 40336 57001;",
"04266099999","2010-01-01T21:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","330,1,N,0031,1","99999,9,9,N","999999,9,N,1","+0012,1","-0043,1","10333,1","99999,9,10291,1","7,1,003,1,+999,9",,"SYN060AAXX  01214 04266 46/// /3306 10012 21043 30291 40333 57003;",
"04266099999","2010-01-02T03:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","300,1,N,0093,1","99999,9,9,N","999999,9,N,1","+0017,1","-0038,1","10304,1","99999,9,10262,1","2,1,163,2,+999,9",,"SYN060AAXX  02034 04266 46/// /3018 10017 21038 30262 40304 52163;","Q01+001632APC3  "
"04266099999","2010-01-02T06:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","320,1,N,0077,1","99999,9,9,N","999999,9,N,1","+0007,1","-0045,1","10310,1","99999,9,10268,1","2,1,006,1,+999,9",,"SYN060AAXX  02064 04266 46/// /3215 10007 21045 30268 40310 52006;",
"04266099999","2010-01-02T09:00:00","4","60.75","-48.45","30.0","NUNARSUIT, GL","FM-12","99999","V020","340,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0002,1","-0056,1","10310,1","99999,9,10268,1","4,1,000,1,+999,9",,"SYN060AAXX  02094 04266 46/// /3411 11002 21056 30268 40310 54000;",
