"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"01088499999","2010-09-03T12:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","030,1,N,0026,1","01500,1,C,N","011265,1,N,1","+0130,1","+0030,1","99999,9","07,5,+01500,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10200,1,99999,9",,,,,"MET051METAR ENSN 031250Z 03005KT 9999 BKN050 13/03 Q1020;",
"01088499999","2010-09-03T13:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0021,1","01500,1,C,N","011265,1,N,1","+0130,1","+0030,1","99999,9","07,5,+01500,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10190,1,99999,9",,,,,"MET051METAR ENSN 031350Z VRB04KT 9999 BKN050 13/03 Q1019;",
"01088499999","2010-09-03T14:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","270,1,N,0015,1","02340,5,C,N","011265,1,N,1","+0130,1","+0040,1","99999,9","02,5,+00930,1,99,9","07,5,+02340,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10190,1,99999,9",,,,,"MET058METAR ENSN 031450Z 27003KT 9999 FEW031 BKN078 13/04 Q1019;",
"01088499999","2010-09-03T15:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","260,1,N,0021,1","02430,5,C,N","011265,1,N,1","+0130,1","+0050,1","99999,9","02,5,+00600,1,99,9","07,5,+02430,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10190,1,99999,9",,,,,"MET058METAR ENSN 031550Z 26004KT 9999 FEW020 BKN081 13/05 Q1019;",
"01088499999","2010-09-03T16:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","270,1,N,0021,1","99999,9,9,Y","009900,1,N,1","+0130,1","+0050,1","99999,9",,,,,,"10190,1,99999,9",,,,,"MET045METAR ENSN 031650Z 27004KT CAVOK 13/05 Q1019;",
"01088499999","2010-09-05T11:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0021,1","99999,9,9,Y","009900,1,N,1","+0170,1","+0050,1","99999,9",,,,,,"10271,1,99999,9",,,,,"MET045METAR ENSN 051150Z VRB04KT CAVOK 17/05 Q1027;",
"01088499999","2010-09-05T12:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0021,1","99999,9,9,Y","009900,1,N,1","+0180,1","+0050,1","99999,9",,,,,,"10271,1,99999,9",,,,,"MET045METAR ENSN 051250Z VRB04KT CAVOK 18/05 Q1027;",
"01088499999","2010-09-05T13:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0021,1","99999,9,9,Y","009900,1,N,1","+0180,1","+0040,1","99999,9",,,,,,"10271,1,99999,9",,,,,"MET045METAR ENSN 051350Z VRB04KT CAVOK 18/04 Q1027;",
"01088499999","2010-09-05T15:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","190,1,N,0026,1","99999,9,9,Y","009900,1,N,1","+0170,1","+0070,1","99999,9",,,,,,"10261,1,99999,9",,,,,"MET045METAR ENSN 051550Z 19005KT CAVOK 17/07 Q1026;",
"01088499999","2010-09-05T16:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","130,1,N,0021,1","99999,9,9,Y","009900,1,N,1","+0150,1","+0060,1","99999,9",,,,,,"10261,1,99999,9",,,,,"MET045METAR ENSN 051650Z 13004KT CAVOK 15/06 Q1026;",
"01088499999","2010-09-05T17:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","999,9,V,0010,1","99999,9,9,Y","009900,1,N,1","+0140,1","+0060,1","99999,9",,,,,,"10271,1,99999,9",,,,,"MET045METAR ENSN 051750Z VRB02KT CAVOK 14/06 Q1027;",
"01088499999","2010-09-06T03:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","280,1,N,0031,1","99999,9,9,Y","009900,1,N,1","+0090,1","+0080,1","99999,9",,,,,,"10271,1,99999,9",,,,,"MET045METAR ENSN 060350Z 28006KT CAVOK 09/08 Q1027;",
"01088499999","2010-09-06T04:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","270,1,N,0031,1","99999,9,9,Y","009900,1,N,1","+0100,1","+0080,1","99999,9",,,,,,"10271,1,99999,9",,,,,"MET045METAR ENSN 060450Z 27006KT CAVOK 10/08 Q1027;",
"01088499999","2010-09-06T05:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","270,1,N,0031,1","99999,9,9,Y","009900,1,N,1","+0100,1","+0090,1","99999,9",,,,,,"10271,1,99999,9",,,,,"MET045METAR ENSN 060550Z 27006KT CAVOK 10/09 Q1027;",
"01088499999","2010-09-06T06:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","270,1,N,0036,1","99999,9,9,Y","009900,1,N,1","+0110,1","+0090,1","99999,9",,,,,,"10281,1,99999,9",,,,,"MET045METAR ENSN 060650Z 27007KT CAVOK 11/09 Q1028;",
"01088499999","2010-09-06T07:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","260,1,N,0031,1","99999,9,9,Y","009900,1,N,1","+0130,1","+0090,1","99999,9",,,,,,"10271,1,99999,9",,,,,"MET045METAR ENSN 060750Z 26006KT CAVOK 13/09 Q1027;",
"01088499999","2010-09-06T08:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","270,1,N,0036,1","01500,1,C,N","011265,1,N,1","+0130,1","+0090,1","99999,9","07,5,+01500,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10281,1,99999,9",,,,,"MET051METAR ENSN 060850Z 27007KT 9999 BKN050 13/09 Q1028;",
"01088499999","2010-09-06T09:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","250,1,N,0026,1","01500,1,C,N","011265,1,N,1","+0140,1","+0100,1","99999,9","07,5,+01500,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10281,1,99999,9",,,,,"MET051METAR ENSN 060950Z 25005KT 9999 BKN050 14/10 Q1028;",
"01088499999","2010-09-06T10:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0026,1","01500,1,C,N","011265,1,N,1","+0170,1","+0090,1","99999,9","07,5,+01500,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10271,1,99999,9",,,,,"MET051METAR ENSN 061050Z 07005KT 9999 BKN050 17/09 Q1027;",
"01088499999","2010-09-06T12:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","090,1,N,0021,1","01500,1,C,N","011265,1,N,1","+0160,1","+0090,1","99999,9","07,5,+01500,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10271,1,99999,9",,,,,"MET051METAR ENSN 061250Z 09004KT 9999 BKN050 16/09 Q1027;",
"01088499999","2010-09-06T14:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","080,1,N,0026,1","01470,1,C,N","011265,1,N,1","+0160,1","+0080,1","99999,9","07,5,+01470,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10261,1,99999,9",,,,,"MET051METAR ENSN 061450Z 08005KT 9999 BKN049 16/08 Q1026;",
"01088499999","2010-09-06T15:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0015,1","01440,1,C,N","011265,1,N,1","+0150,1","+0090,1","99999,9","07,5,+01440,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10261,1,99999,9",,,,,"MET051METAR ENSN 061550Z 07003KT 9999 BKN048 15/09 Q1026;",
"01088499999","2010-09-06T17:20:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0026,1","01500,1,C,N","011265,1,N,1","+0150,1","+0090,1","99999,9","07,5,+01500,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10251,1,99999,9",,,,,"MET051METAR ENSN 061720Z 07005KT 9999 BKN050 15/09 Q1025;",
"01088499999","2010-09-07T03:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","080,1,N,0031,1","01650,5,C,N","011265,1,N,1","+0120,1","+0090,1","99999,9","02,5,+01050,1,99,9","07,5,+01650,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10240,1,99999,9",,,,,"MET066METAR ENSN 070350Z 08006KT 040V130 9999 FEW035 BKN055 12/09 Q1024;",
"01088499999","2010-09-07T04:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","090,1,N,0026,1","01650,5,C,N","011265,1,N,1","+0120,1","+0090,1","99999,9","04,5,+01050,1,99,9","07,5,+01650,5,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10240,1,99999,9",,,,,"MET066METAR ENSN 070450Z 09005KT 040V140 9999 SCT035 BKN055 12/09 Q1024;",
"01088499999","2010-09-07T05:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","070,1,N,0026,1","00450,1,C,N","011265,1,N,1","+0120,1","+0090,1","99999,9","07,5,+00450,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10240,1,99999,9",,,,,"MET059METAR ENSN 070550Z 07005KT 030V150 9999 BKN015 12/09 Q1024;",
"01088499999","2010-09-07T07:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","080,1,N,0031,1","00450,1,C,N","011265,1,N,1","+0120,1","+0090,1","99999,9","07,5,+00450,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10240,1,99999,9",,,,,"MET059METAR ENSN 070750Z 08006KT 030V150 9999 BKN015 12/09 Q1024;",
"01088499999","2010-09-07T08:50:00","4","59.185","9.566944","141.12","GEITERYGGEN, NO","FM-15","ENSN ","V020","110,1,N,0036,1","00600,1,C,N","011265,1,N,1","+0140,1","+0070,1","99999,9","07,5,+00600,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10240,1,99999,9",,,,,"MET059METAR ENSN 070850Z 11007KT 040V200 9999 BKN020 14/07 Q1024;",
