"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AW1","AZ1","GA1","GA2","KA1","KA2","MA1","MD1","REM","EQD"
"02458099999","2010-03-25T18:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","160,1,N,0040,1","00090,1,C,N","003400,1,N,1","+0004,1","+0004,1","10177,1",,,"10,1","2,1,06,1","09,1,+00090,1,99,9",,"120,M,+0022,1","999,N,+0004,1","99999,9,10151,1","7,1,004,1,+999,9","SYN088AAXX  25181 02458 37/34 /1604 10004 20004 30151 40177 57004 71010 333 10022 20004 89/03;",
"02458099999","2010-03-25T21:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","130,1,N,0030,1","00090,1,C,N","004100,1,N,1","+0005,1","+0005,1","10166,1",,,"10,1","2,1,03,1","09,1,+00090,1,99,9",,,,"99999,9,10140,1","8,1,011,1,+999,9","SYN076AAXX  25211 02458 47/41 /1303 10005 20005 30140 40166 58011 71011 333 89/03;",
"02458099999","2010-03-26T00:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","110,1,N,0010,1","99999,9,9,N","009000,1,N,1","-0006,1","-0006,1","10143,1",,,"10,1","2,1,06,1",,,,,"99999,9,10117,1","8,1,022,1,+999,9","SYN066AAXX  26001 02458 47959 /1101 11006 21006 30117 40143 58022 71010;",
"02458099999","2010-03-26T03:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","999,9,C,0000,1","99999,9,9,N","000200,1,N,1","-0034,1","-0034,1","10119,1",,,"31,1","4,1,03,1",,,,,"99999,9,10093,1","7,1,024,1,+999,9","SYN066AAXX  26031 02458 47902 /0000 11034 21034 30093 40119 57024 73131;",
"02458099999","2010-03-26T06:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","070,1,N,0010,1","00060,1,C,N","000900,1,N,1","-0002,1","-0002,1","10099,1",,,"34,1","4,1,06,1","09,1,+00060,1,99,9",,"120,M,+0007,1","999,N,-0035,1","99999,9,10073,1","6,1,020,1,+999,9","SYN088AAXX  26061 02458 37/09 /0701 11002 21002 30073 40099 56020 73432 333 10007 21035 89/02;",
"02458099999","2010-03-26T09:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","999,9,C,0000,1","99999,9,9,N","010000,1,N,1","+0024,1","+0018,1","10086,1",,,"00,1","4,1,03,1","01,1,+01500,1,99,9",,,,"99999,9,10061,1","7,1,013,1,+999,9","SYN082AAXX  26091 02458 47760 /0000 10024 20018 30061 40086 57013 70032 333 81/50 83/70;",
"02458099999","2010-03-26T12:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","030,1,N,0020,1","99999,9,9,N","018000,1,N,1","+0044,1","+0028,1","10063,1",,,"00,1","4,1,06,1",,,,,"99999,9,10037,1","6,1,024,1,+999,9","SYN066AAXX  26121 02458 47968 /0302 10044 20028 30037 40063 56024 70032;",
"02458099999","2010-03-26T15:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","999,9,C,0000,1","02100,1,C,N","018000,1,N,1","+0052,1","+0025,1","10041,1",,,,,"08,1,+02100,1,99,9",,,,"99999,9,10016,1","8,1,022,1,+999,9","SYN070AAXX  26151 02458 45868 /0000 10052 20025 30016 40041 58022 333 88/57;",
"02458099999","2010-03-26T18:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","210,1,N,0010,1","02700,1,C,N","013000,1,N,1","+0025,1","+0015,1","10039,1",,,,,"08,1,+02700,1,99,9",,"120,M,+0081,1","999,N,-0002,1","99999,9,10013,1","7,1,002,1,+999,9","SYN082AAXX  26181 02458 35963 /2101 10025 20015 30013 40039 57002 333 10081 21002 88/59;",
"02458099999","2010-03-26T21:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","250,1,N,0010,1","99999,9,9,N","008000,1,N,1","+0006,1","+0005,1","10031,1",,,"10,1","2,1,03,1","01,1,+02400,1,99,9",,,,"99999,9,10005,1","8,1,008,1,+999,9","SYN082AAXX  26211 02458 47858 /2501 10006 20005 30005 40031 58008 71010 333 81/58 87/62;",
"02458099999","2010-03-27T00:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","310,1,N,0010,1","02400,1,C,N","006000,1,N,1","+0002,1","+0002,1","10018,1",,,"10,1","2,1,06,1","05,1,+02400,1,99,9",,,,"99999,9,09993,1","7,1,012,1,+999,9","SYN076AAXX  27001 02458 47956 /3101 10002 20002 39993 40018 57012 71010 333 85/58;",
"02458099999","2010-03-27T03:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","310,1,N,0010,1","99999,9,9,N","004000,1,N,1","+0001,1","+0001,1","10005,1",,,"10,1","2,1,03,1","01,1,+03600,1,99,9",,,,"99999,9,09980,1","6,1,013,1,+999,9","SYN076AAXX  27031 02458 47940 /3101 10001 20001 39980 40005 56013 71011 333 81/62;",
"02458099999","2010-03-27T06:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","030,1,N,0030,1","00180,1,C,N","007000,1,N,1","+0013,1","+0013,1","09995,1",,,"10,1","8,1,06,1","08,1,+00180,1,99,9",,"120,M,+0028,1","999,N,-0001,1","99999,9,09970,1","7,1,010,1,+999,9","SYN088AAXX  27061 02458 37257 /0303 10013 20013 39970 49995 57010 71084 333 10028 21001 88/06;",
"02458099999","2010-03-27T09:00:00","4","59.897328","17.588581","20.72","UPPSALA, SW","FM-12","ESCM ","V020","360,1,N,0020,1","00330,1,C,N","009000,1,N,1","+0021,1","+0019,1","09987,1",,,"23,1","8,1,03,1","08,1,+00330,1,99,9",,,,"99999,9,09961,1","8,1,008,1,+999,9","SYN076AAXX  27091 02458 47459 /3602 10021 20019 39961 49987 58008 72386 333 88/11;",
