"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GF1","MD1","OD1","REM"
"03496099999","2010-07-12T03:00:00","4","52.683","1.683","14.0","HEMSBY, UK","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","009000,1,N,1","+0157,1","+0151,1","10145,1","01,1,+03900,1,03,1","01,99,1,01,1,00,1,99999,9,03,1,02,1","6,1,019,1,+999,9","4,99,0010,9,999","SYN082AAXX  12031 03496 42959 10000 10157 20151 40145 56019 81032 333 81363 91102 91201;"
"03496099999","2010-07-12T04:00:00","4","52.683","1.683","14.0","HEMSBY, UK","FM-12","99999","V020","999,9,C,0000,1","22000,1,9,N","009000,1,N,1","+0157,1","+0151,1","10145,1","01,1,+03900,1,03,1","01,99,1,01,1,00,1,99999,9,03,1,02,1","6,1,019,1,+999,9","4,99,0010,9,999","SYN082AAXX  12041 03496 42959 10000 10157 20151 40145 56019 81032 333 81363 91102 91201;"
