"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AJ1","AY1","AY2","GA1","GA2","GF1","GJ1","IA1","IA2","KA1","MA1","MD1","MW1","OD1","OD2","REM","EQD"
"08272099999","2010-01-04T06:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","130,1,N,0010,1","00420,1,9,N","001500,1,N,1","+0079,1","+0078,1","10112,1","12,0030,9,1","24,0064,9,1",,,,,,"08,99,1,08,1,06,1,00450,1,99,9,99,9","0144,9","11,9","999,+0060,9","999,N,+0075,1","99999,9,09502,1","8,1,019,1,+999,9","10,1",,,"SYN106AAXX  04064 08272 11415 81302 10079 20078 39502 40112 58019 60032 710// 886// 333 20075 32006 55024 70064;",
"08272099999","2010-01-04T09:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","090,1,N,0036,1","00210,1,9,N","001700,1,N,1","+0083,1","+0079,1","10093,1",,,,"6,1,03,1","2,1,03,1",,,"08,99,1,08,1,06,1,00250,1,99,9,99,9",,,,,"99999,9,09485,1","8,1,017,1,+999,9","10,1",,,"SYN072AAXX  04094 08272 41317 80907 10083 20079 39485 40093 58017 71062 886//;",
"08272099999","2010-01-04T12:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","110,1,N,0041,1","03600,1,9,N","025000,1,N,1","+0095,1","+0083,1","10063,1","06,0041,9,1",,,"6,1,06,1","2,1,06,1",,,"08,99,1,03,1,07,1,00150,1,02,1,99,9",,,,,"99999,9,09460,1","8,1,025,1,+999,9","63,1",,,"SYN078AAXX  04124 08272 11275 81108 10095 20083 39460 40063 58025 60041 76362 8372/;",
"08272099999","2010-01-04T15:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","170,1,N,0036,1","00420,1,9,N","030000,1,N,1","+0114,1","+0088,1","10023,1",,,,"6,1,03,1","2,1,03,1",,,"08,99,1,06,1,05,1,00450,1,07,1,05,1",,,,,"99999,9,09426,1","6,1,034,1,+999,9","02,1",,,"SYN072AAXX  04154 08272 41480 81707 10114 20088 39426 40023 56034 70262 86575;",
"08272099999","2010-01-04T18:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","220,1,N,0021,1","00420,1,9,N","040000,1,N,1","+0109,1","+0078,1","10021,1","12,0051,9,1",,,"6,1,06,1","2,1,06,1",,,"06,99,1,06,1,05,1,00450,1,00,1,05,1",,,,"999,M,+0124,1","99999,9,09423,1","6,1,003,1,+999,9","02,1",,,"SYN088AAXX  04184 08272 11482 62204 10109 20078 39423 40021 56003 60052 70262 86505 333 10124;",
"08272099999","2010-01-05T06:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","270,1,N,0015,1","00180,1,9,N","000300,1,N,1","+0081,1","+0080,1","10000,1","12,0003,9,1","24,0051,9,1",,"4,1,06,1","4,1,06,1","09,1,+00180,1,99,9",,"09,99,1,09,1,99,9,99999,9,99,9,99,9","0018,9","11,9","999,+0070,9","999,N,+0079,1","99999,9,09398,1","5,1,000,1,+999,9","50,1",,,"SYN112AAXX  05064 08272 11/03 92703 10081 20080 39398 40000 55000 69932 75044 333 20079 32007 50054 55003 70050 89/06;",
"08272099999","2010-01-05T09:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","330,1,N,0015,1","22000,1,9,N","000800,1,N,1","+0075,1","+0075,1","10013,1",,,,"5,1,03,1","4,1,03,1",,,"04,99,1,04,1,05,1,00450,1,03,1,00,1",,,,,"99999,9,09408,1","3,1,010,1,+999,9","42,1",,,"SYN072AAXX  05094 08272 41408 43303 10075 20075 39408 40013 53010 74254 84530;",
"08272099999","2010-01-05T12:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","290,1,N,0046,1","00420,1,9,N","015000,1,N,1","+0101,1","+0075,1","10020,1","06,0000,2,1",,,"5,1,06,1","4,1,06,1",,,"07,99,1,06,1,05,1,00450,1,03,1,01,1",,,,,"99999,9,09420,1","1,1,012,1,+999,9","02,1",,,"SYN078AAXX  05124 08272 11465 72909 10101 20075 39420 40020 51012 69921 70254 86531;",
"08272099999","2010-01-05T15:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","310,1,N,0057,1","00900,1,9,N","030000,1,N,1","+0100,1","+0071,1","10021,1",,,,,,,,"08,99,1,07,1,08,1,00450,1,07,1,99,9",,,,,"99999,9,09421,1","3,1,001,1,+999,9",,,,"SYN066AAXX  05154 08272 42480 83111 10100 20071 39421 40021 53001 8787/;",
"08272099999","2010-01-05T18:00:00","4","39.8833333","-4.05","516.0","TOLEDO, SP","FM-12","99999","V020","300,1,N,0036,1","03600,1,9,N","030000,1,N,1","+0093,1","+0071,1","10031,1","12,0000,2,1",,,,,,,"07,99,1,03,1,05,1,00450,1,07,1,00,1",,,,"999,M,+0119,1","99999,9,09429,1","2,1,008,1,+999,9",,,,"SYN082AAXX  05184 08272 12480 73007 10093 20071 39429 40031 52008 69922 83570 333 10119;",
