"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04208099999","2010-01-02T21:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","300,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0070,1","-0073,1","10373,1","99999,9,10320,1","2,1,014,1,+999,9",,"SYN060AAXX  02214 04208 46/// /3011 11070 21073 30320 40373 52014;",
"04208099999","2010-01-03T00:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","310,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0074,1","-0074,1","10393,1","99999,9,10340,1","2,1,020,1,+999,9",,"SYN060AAXX  03004 04208 46/// /3111 11074 21074 30340 40393 52020;",
"04208099999","2010-01-03T03:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","310,1,N,0036,1","99999,9,9,N","999999,9,N,1","-0077,1","-0092,1","10409,1","99999,9,10356,1","2,1,016,1,+999,9",,"SYN060AAXX  03034 04208 46/// /3107 11077 21092 30356 40409 52016;",
"04208099999","2010-01-03T06:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","330,1,N,0010,1","99999,9,9,N","999999,9,N,1","-0078,1","-0091,1","10418,1","99999,9,10365,1","2,1,009,1,+999,9",,"SYN060AAXX  03064 04208 46/// /3302 11078 21091 30365 40418 52009;",
"04208099999","2010-01-03T09:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0068,1","-0075,1","10433,1","99999,9,10380,1","2,1,015,1,+999,9",,"SYN060AAXX  03094 04208 46/// ///// 11068 21075 30380 40433 52015;",
"04208099999","2010-01-03T12:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","110,1,N,0021,1","99999,9,9,N","999999,9,N,1","-0065,1","-0074,1","10431,1","99999,9,10378,1","7,1,002,1,+999,9",,"SYN060AAXX  03124 04208 46/// /1104 11065 21074 30378 40431 57002;",
"04208099999","2010-01-03T15:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","090,1,N,0046,1","99999,9,9,N","999999,9,N,1","-0057,1","-0059,1","10425,1","99999,9,10372,1","7,1,006,1,+999,9",,"SYN060AAXX  03154 04208 46/// /0909 11057 21059 30372 40425 57006;",
"04208099999","2010-01-03T18:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","120,1,N,0015,1","99999,9,9,N","999999,9,N,1","-0060,1","-0062,1","10412,1","99999,9,10359,1","7,1,013,1,+999,9",,"SYN060AAXX  03184 04208 46/// /1203 11060 21062 30359 40412 57013;",
"04208099999","2010-01-03T21:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","120,1,N,0031,1","99999,9,9,N","999999,9,N,1","-0041,1","-0043,1","10400,1","99999,9,10348,1","7,1,011,1,+999,9",,"SYN060AAXX  03214 04208 46/// /1206 11041 21043 30348 40400 57011;",
"04208099999","2010-01-04T00:00:00","4","74.0333333","-57.8166666","40.0","KITSISSORSUIT EDDERFUGLE OEER, GL","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0052,1","-0054,1","10385,1","99999,9,10333,1","7,1,015,1,+999,9",,"SYN060AAXX  04004 04208 46/// ///// 11052 21054 30333 40385 57015;",
