"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GF1","MA1","MW1","OC1","REM"
"03405599999","2010-07-26T05:30:00","4","52.65","-1.7833333","2.0","NORTH DENES AIRPORT, UK","FM-15","EGSD ","V020","280,1,N,0031,1","22000,1,9,N","011265,1,N,1","+0160,1","+0150,1","99999,9","02,5,+00450,1,99,9",,"02,99,1,99,9,99,9,99999,9,99,9,99,9","10139,1,99999,9",,,"MET057METAR EGSD 260530Z 28006KT 9999 FEW015 16/15 Q1014 NOSIG;"
"03405599999","2010-10-08T07:20:00","4","52.65","-1.7833333","2.0","NORTH DENES AIRPORT, UK","FM-15","EGSD ","V020","100,1,N,0057,1","00300,1,C,N","003000,1,N,1","+0160,1","+0150,1","99999,9","07,5,+00300,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10180,1,99999,9","05,1",,"MET067METAR EGSD 080720Z 10011KT 3000 HZ BKN010 16/15 Q1018 TEMPO BKN008;"
"03405599999","2010-11-07T14:50:00","4","52.65","-1.7833333","2.0","NORTH DENES AIRPORT, UK","FM-15","EGSD ","V020","030,1,N,0031,1","22000,1,9,N","011265,1,N,1","+0090,1","+0030,1","99999,9","02,5,+00660,1,99,9",,"02,99,1,99,9,99,9,99999,9,99,9,99,9","10061,1,99999,9",,,"MET057METAR EGSD 071450Z 03006KT 9999 FEW022 09/03 Q1006 NOSIG;"
"03405599999","2010-11-07T16:50:00","4","52.65","-1.7833333","2.0","NORTH DENES AIRPORT, UK","FM-15","EGSD ","V020","320,1,N,0021,1","22000,1,9,N","011265,1,N,1","+0060,1","+0040,1","99999,9","02,5,+00420,1,99,9",,"02,99,1,99,9,99,9,99999,9,99,9,99,9","10051,1,99999,9",,,"MET057METAR EGSD 071650Z 32004KT 9999 FEW014 06/04 Q1005 NOSIG;"
"03405599999","2010-11-08T08:20:00","4","52.65","-1.7833333","2.0","NORTH DENES AIRPORT, UK","FM-15","EGSD ","V020","150,1,N,0041,1","00600,1,C,N","011265,1,N,1","+0080,1","+0060,1","99999,9","04,5,+00240,1,99,9","07,5,+00600,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","09780,1,99999,9","16,1","0093,1","MET087METAR EGSD 080820Z 15008G18KT 050V240 9999 VCSH SCT008 BKN020 08/06 Q0978 TEMPO BKN008;"
"03405599999","2010-11-14T06:30:00","4","52.65","-1.7833333","2.0","NORTH DENES AIRPORT, UK","FM-15","EGSD ","V020","250,1,N,0046,1","00900,1,C,N","011265,1,N,1","+0060,1","+0060,1","99999,9","04,5,+00450,1,99,9","07,5,+00900,1,99,9","07,99,1,99,9,99,9,99999,9,99,9,99,9","09909,1,99999,9",,,"MET064METAR EGSD 140630Z 25009KT 9999 SCT015 BKN030 06/06 Q0991 NOSIG;"
"03405599999","2010-12-20T13:20:00","4","52.65","-1.7833333","2.0","NORTH DENES AIRPORT, UK","FM-15","EGSD ","V020","999,9,C,0000,1","00030,1,C,N","000800,1,N,1","-0060,1","-0060,1","99999,9","07,5,+00030,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9","10041,1,99999,9","48,1",,"MET079METAR EGSD 201320Z 00000KT 0800 FZFG BKN001 M06/M06 Q1004 TEMPO 1200 BR BKN004;"
