"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","KA1","MA1","MD1","REM","EQD"
"01037099999","2010-01-01T00:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","180,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0092,1","-0145,1","10193,1","06,0010,9,1",,,"99999,9,10187,1","2,1,022,1,+999,9","SYN076AAXX  01001 01037 16/// /1803 11092 21145 30187 40193 52022 60011 333 91109;",
"01037099999","2010-01-01T01:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","140,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0100,1","-0149,1","10199,1","01,0000,2,1",,,"99999,9,10192,1","2,1,018,1,+999,9","SYN070AAXX  01011 01037 26/// /1403 11100 21149 30192 40199 52018 333 60005;",
"01037099999","2010-01-01T02:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","170,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0100,1","-0153,1","10202,1","01,0000,2,1",,,"99999,9,10196,1","1,1,015,1,+999,9","SYN070AAXX  01021 01037 26/// /1703 11100 21153 30196 40202 51015 333 60005;",
"01037099999","2010-01-01T03:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","180,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0101,1","-0152,1","10202,1","01,0000,2,1",,,"99999,9,10196,1","0,1,009,1,+999,9","SYN070AAXX  01031 01037 26/// /1804 11101 21152 30196 40202 50009 333 60005;",
"01037099999","2010-01-01T04:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","150,1,N,0050,1","99999,9,9,N","999999,9,N,1","-0097,1","-0152,1","10204,1","01,0000,2,1",,,"99999,9,10197,1","0,1,005,1,+999,9","SYN070AAXX  01041 01037 26/// /1505 11097 21152 30197 40204 50005 333 60005;",
"01037099999","2010-01-01T05:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","160,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0104,1","-0157,1","10208,1","01,0000,2,1",,,"99999,9,10201,1","3,1,006,1,+999,9","SYN070AAXX  01051 01037 26/// /1603 11104 21157 30201 40208 53006 333 60005;",
"01037099999","2010-01-01T06:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","140,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0104,1","-0153,1","10213,1","12,0010,9,2","24,0003,9,2","999,N,-0178,1","99999,9,10207,1","3,1,011,1,+999,9","SYN088AAXX  01061 01037 16/// /1403 11104 21153 30207 40213 53011 60012 333 21178 70003 91110;",
"01037099999","2010-01-01T07:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","180,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0109,1","-0156,1","10220,1","01,0000,2,1",,,"99999,9,10214,1","3,1,017,1,+999,9","SYN070AAXX  01071 01037 26/// /1802 11109 21156 30214 40220 53017 333 60005;",
"01037099999","2010-01-01T08:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","140,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0112,1","-0156,1","10221,1","01,0000,2,1",,,"99999,9,10214,1","1,1,013,1,+999,9","SYN070AAXX  01081 01037 26/// /1403 11112 21156 30214 40221 51013 333 60005;",
"01037099999","2010-01-01T09:00:00","4","69.3833333","20.2833333","20.0","SKIBOTN 2, NO","FM-12","99999","V020","140,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0119,1","-0160,1","10223,1","01,0000,2,1",,,"99999,9,10216,1","0,1,009,1,+999,9","SYN070AAXX  01091 01037 26/// /1402 11119 21160 30216 40223 50009 333 60005;",
