"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AJ1","AY1","AY2","GA1","GF1","IA1","KA1","MW1","REM","EQD"
"01014099999","2010-01-01T06:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","120,1,N,0030,1","22000,1,9,N","075000,1,N,1","-0067,1","-0125,1","99999,9","12,0000,9,1","24,0000,9,1","0005,9,1,999999,9,9","1,1,06,1","0,1,06,1",,"01,99,1,00,1,00,1,99999,9,00,1,07,1","24,9","999,N,-0099,1","01,1","SYN082AAXX  01061 01014 11989 11203 11067 21125 60002 70110 80007 333 21099 48005 70000;","Q01  00002PRCP24Q02  00002PRCP12"
"01014099999","2010-01-01T12:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","100,1,N,0010,1","22000,1,9,N","075000,1,N,1","-0083,1","-0130,1","99999,9",,,,"0,1,06,1","0,1,06,1","00,1,+99999,9,99,9","00,99,1,00,1,00,1,99999,9,00,1,00,1",,,"01,1","SYN064AAXX  01121 01014 11989 01001 11083 21130 6//// 70100 333 4////;",
"01014099999","2010-01-01T18:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","080,1,N,0010,1","22000,1,9,N","075000,1,N,1","-0101,1","-0134,1","99999,9","12,0000,9,1",,,"0,1,06,1","0,1,06,1",,"02,99,1,00,1,00,1,99999,9,00,1,07,1",,"120,M,-0067,1","03,1","SYN076AAXX  01181 01014 11989 20801 11101 21134 60002 70300 80007 333 11067 4////;","Q01  00002PRCP12"
"01014099999","2010-01-02T06:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","100,1,N,0010,1","00750,1,9,N","010000,1,N,1","-0097,1","-0113,1","99999,9","12,9999,9,9","24,9999,9,9","0005,9,1,999999,9,9","8,1,06,1","2,1,06,1",,"08,99,1,08,1,03,1,00800,1,99,9,99,9","24,9","999,N,-0145,1","85,1","SYN082AAXX  02061 01014 11560 81001 11097 21113 69912 78582 883// 333 21145 48005 70001;","Q01  00002PRCP24Q02  00002PRCP12Q03  00002PRCP12Q04  00002PRCP24"
"01014099999","2010-01-02T12:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","100,1,N,0010,1","00210,1,9,N","025000,1,N,1","-0069,1","-0075,1","99999,9",,,,"8,1,06,1","2,1,06,1",,"08,99,1,08,1,03,1,00250,1,99,9,99,9",,,"85,1","SYN070AAXX  02121 01014 11375 81001 11069 21075 6//// 78582 883// 333 4////;",
"01014099999","2010-01-02T18:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","100,1,N,0010,1","00210,1,9,N","001000,1,N,1","-0036,1","-0041,1","99999,9","12,0051,9,1",,,"8,1,06,1","2,1,06,1",,"08,99,1,08,1,03,1,00250,1,99,9,99,9",,"120,M,-0034,1","86,1","SYN076AAXX  02181 01014 11310 81001 11036 21041 60052 78682 883// 333 11034 4////;",
"01014099999","2010-01-03T06:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","300,1,N,0010,1","00420,1,9,N","040000,1,N,1","-0037,1","-0100,1","99999,9","12,0061,9,1","24,0099,9,1","0016,9,1,999999,9,9","8,1,06,1","2,1,06,1",,"08,99,1,08,1,02,1,00450,1,99,9,99,9","23,9","999,N,-0100,1","02,1","SYN082AAXX  03061 01014 11482 83001 11037 21100 60062 70282 882// 333 21100 47016 70100;",
"01014099999","2010-01-03T12:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","120,1,N,0010,1","00750,1,9,N","040000,1,N,1","-0032,1","-0072,1","99999,9",,,,"8,1,06,1","2,1,06,1",,"07,99,1,07,1,02,1,00800,1,00,1,08,1",,,"02,1","SYN070AAXX  03121 01014 11582 71201 11032 21072 6//// 70282 87208 333 4////;",
"01014099999","2010-01-03T18:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","120,1,N,0010,1","22000,1,9,N","045000,1,N,1","-0057,1","-0099,1","99999,9","12,0008,9,1",,,"2,1,06,1","1,1,06,1",,"04,99,1,01,1,02,1,00800,1,00,1,08,1",,"120,M,-0030,1","01,1","SYN076AAXX  03181 01014 11583 41201 11057 21099 69982 70121 81208 333 11030 4////;",
"01014099999","2010-01-04T06:00:00","4","69.2333333","17.9","9.0","SENJA LAUKHELLA, NO","FM-12","99999","V020","100,1,N,0010,1","22000,1,9,N","055000,1,N,1","-0108,1","-0166,1","99999,9","12,0000,9,1","24,0008,9,1","0015,9,1,999999,9,9","1,1,06,1","0,1,06,1",,"01,99,1,00,1,00,1,99999,9,00,1,07,1","23,9","999,N,-0113,1","01,1","SYN082AAXX  04061 01014 11985 11001 11108 21166 60002 70110 80007 333 21113 47015 70008;","Q01  00002PRCP12"
