"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AJ1","AY1","AY2","GA1","GA2","GF1","IA1","MA1","MW1","REM","EQD"
"06842099999","2010-01-26T10:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00480,1,9,N","000500,1,N,1","+9999,9","+9999,9","99999,9",,"7,1,99,9","2,1,99,9","08,1,+00480,1,05,1",,"08,99,1,08,1,07,1,00450,1,99,9,99,9",,"99999,9,09686,1","73,1","SYN076AAXX  26104 06842 41405 822// 1//// 2//// 39686 5//// 77372 887// 333 88516;",
"06842099999","2010-01-26T11:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00480,1,9,N","000500,1,N,1","+0002,1","+9999,9","99999,9",,"7,1,99,9","4,1,99,9","08,1,+00480,1,05,1",,"08,99,1,08,1,07,1,00450,1,99,9,99,9",,"99999,9,09684,1","73,1","SYN076AAXX  26114 06842 41405 802// 10002 2//// 39684 5//// 77374 887// 333 88516;",
"06842099999","2010-01-26T12:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00210,1,C,N","001500,1,N,1","+0002,1","+9999,9","99999,9",,"7,1,06,1","5,1,06,1","03,1,+00300,1,07,1",,"08,99,1,08,1,06,1,00250,1,99,9,99,9",,"99999,9,09680,1","77,1","SYN082AAXX  26124 06842 41315 804// 10002 2//// 39680 5//// 77775 886// 333 83710 88720;",
"06842099999","2010-01-26T13:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00060,1,9,N","000800,1,N,1","-0025,1","+9999,9","99999,9",,"7,1,99,9","4,1,99,9","09,1,+99999,9,99,9",,"09,99,1,09,1,99,9,99999,9,99,9,99,9",,"99999,9,09679,1","71,1","SYN060AAXX  26134 06842 41/08 903// 11025 2//// 39679 5//// 77174;",
"06842099999","2010-01-26T14:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00480,1,9,N","002000,1,N,1","-0026,1","+9999,9","99999,9",,"7,1,99,9","4,1,99,9","08,1,+00480,1,04,1",,"08,99,1,08,1,06,1,00450,1,99,9,99,9",,"99999,9,09676,1","71,1","SYN076AAXX  26144 06842 41420 804// 11026 2//// 39676 5//// 77174 886// 333 88416;",
"06842099999","2010-01-26T15:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00600,1,9,N","001500,1,N,1","-0031,1","+9999,9","99999,9",,"7,1,03,1","2,1,03,1","08,1,+00600,1,04,1",,"08,99,1,08,1,06,1,00450,1,99,9,99,9",,"99999,9,09679,1","78,1","SYN076AAXX  26154 06842 41415 801// 11031 2//// 39679 5//// 77872 886// 333 88420;",
"06842099999","2010-01-26T16:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00600,1,9,N","002200,1,N,1","-0040,1","+9999,9","99999,9",,"7,1,99,9","2,1,99,9","08,1,+00600,1,07,1",,"08,99,1,08,1,06,1,00450,1,99,9,99,9",,"99999,9,09686,1","78,1","SYN076AAXX  26164 06842 41422 804// 11040 2//// 39686 5//// 77872 886// 333 88720;",
"06842099999","2010-01-26T18:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00480,1,9,N","002000,1,N,1","-0048,1","+9999,9","99999,9","0004,9,1,999999,9,9","7,1,06,1","2,1,06,1","08,1,+00480,1,07,1",,"08,99,1,08,1,06,1,00450,1,99,9,99,9","23,9","99999,9,09694,1","78,1","SYN094AAXX  26184 06842 41420 803// 11048 2//// 39694 5//// 77872 886// 333 47004 88716 90766 93103;",
"06842099999","2010-01-26T19:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00480,1,9,N","001000,1,N,1","-0050,1","+9999,9","99999,9",,"7,1,99,9","2,1,99,9","08,1,+00480,1,07,1",,"08,99,1,08,1,06,1,00450,1,99,9,99,9",,"99999,9,09696,1","78,1","SYN076AAXX  26194 06842 41410 804// 11050 2//// 39696 5//// 77872 886// 333 88716;",
"06842099999","2010-01-26T20:00:00","4","47.5166666","9.2666666","506.0","SITTERDORF, SZ","FM-12","99999","V020","999,9,9,9999,9","00480,1,9,N","001000,1,N,1","-0052,1","+9999,9","99999,9",,"3,1,99,9","2,1,99,9","08,1,+00480,1,07,1",,"08,99,1,08,1,07,1,00450,1,99,9,99,9",,"99999,9,09694,1","36,1","SYN076AAXX  26204 06842 41410 801// 11052 2//// 39694 5//// 73632 887// 333 88716;",
