"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OC1","REM","EQD"
"04382099999","2010-01-14T18:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","210,1,N,0057,1","99999,9,9,N","999999,9,N,1","-0002,1","-0027,1","09731,1","99999,9,09684,1","7,1,019,1,+999,9",,"SYN060AAXX  14184 04382 46/// /2111 11002 21027 39684 49731 57019;",
"04382099999","2010-01-14T21:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","210,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0010,1","-0028,1","09733,1","99999,9,09686,1","2,1,002,1,+999,9",,"SYN060AAXX  14214 04382 46/// /2108 10010 21028 39686 49733 52002;",
"04382099999","2010-01-15T00:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","350,1,N,0098,1","99999,9,9,N","999999,9,N,1","-0011,1","-0036,1","09748,1","99999,9,09701,1","2,1,015,1,+999,9",,"SYN060AAXX  15004 04382 46/// /3519 11011 21036 39701 49748 52015;",
"04382099999","2010-01-15T03:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","310,1,N,0051,1","99999,9,9,N","999999,9,N,1","-0004,1","-0011,1","09756,1","99999,9,09709,1","2,1,008,1,+999,9",,"SYN060AAXX  15034 04382 46/// /3110 11004 21011 39709 49756 52008;",
"04382099999","2010-01-15T06:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","330,1,N,0129,1","99999,9,9,N","999999,9,N,1","-0003,1","-0003,1","09756,1","99999,9,09709,1","4,1,000,1,+999,9",,"SYN060AAXX  15064 04382 46/// /3325 11003 21003 39709 49756 54000;",
"04382099999","2010-01-15T09:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0113,1","99999,9,9,N","999999,9,N,1","+0001,1","+0000,1","09770,1","99999,9,09723,1","2,1,014,1,+999,9",,"SYN060AAXX  15094 04382 46/// /3422 10001 20000 39723 49770 52014;",
"04382099999","2010-01-15T12:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0144,1","99999,9,9,N","999999,9,N,1","+0002,1","+0000,1","09782,1","99999,9,09735,1","2,1,012,1,+999,9",,"SYN060AAXX  15124 04382 46/// /3428 10002 20000 39735 49782 52012;",
"04382099999","2010-01-15T15:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","350,1,N,0149,1","99999,9,9,N","999999,9,N,1","+0012,1","-0008,1","09789,1","99999,9,09742,1","2,1,007,1,+999,9",,"SYN060AAXX  15154 04382 46/// /3529 10012 21008 39742 49789 52007;",
"04382099999","2010-01-15T18:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","340,1,N,0134,1","99999,9,9,N","999999,9,N,1","-0001,1","-0002,1","09798,1","99999,9,09751,1","2,1,009,1,+999,9",,"SYN060AAXX  15184 04382 46/// /3426 11001 21002 39751 49798 52009;",
"04382099999","2010-01-15T21:00:00","4","61.9333333","-42.0666666","39.0","IKERMIUARSUK, GL","FM-12","99999","V020","350,1,N,0113,1","99999,9,9,N","999999,9,N,1","+0008,1","-0014,1","09810,1","99999,9,09763,1","2,1,012,1,+999,9",,"SYN060AAXX  15214 04382 46/// /3522 10008 21014 39763 49810 52012;",
