"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AY1","AY2","GA1","GF1","GJ1","KA1","MA1","MD1","MW1","OC1","REM","EQD"
"08238099999","2010-01-01T06:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","280,1,N,0072,1","22000,1,9,N","040000,1,N,1","+0104,1","-0021,1","10005,1","12,0000,9,1","24,0000,9,1",,,,"02,99,1,02,1,01,1,00800,1,00,1,00,1","0108,9","999,N,+0099,1","99999,9,09945,1","2,1,009,1,+999,9",,,"SYN100AAXX  01064 08238 12582 22814 10104 21021 39945 40005 52009 60002 82100 333 20099 55018 70000 91139;","Q01  00002PRCP24Q02  00002PRCP12"
"08238099999","2010-01-01T09:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","290,1,N,0103,1","22000,1,9,N","040000,1,N,1","+0122,1","-0012,1","10009,1",,,,,,"01,99,1,01,1,01,1,00800,1,00,1,00,1",,,"99999,9,09949,1","1,1,004,1,+999,9",,,"SYN066AAXX  01094 08238 42582 12920 10122 21012 39949 40009 51004 81100;",
"08238099999","2010-01-04T06:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","340,1,N,0005,1","03600,1,9,N","008000,1,N,1","+0078,1","+0064,1","10112,1","12,0000,9,1","24,0000,9,1","2,1,06,1","2,1,06,1",,"07,99,1,02,1,06,1,00800,1,02,1,06,1","0276,9","999,N,+0075,1","99999,9,10051,1","8,1,008,1,+999,9","10,1",,"SYN100AAXX  04064 08238 11558 73401 10078 20064 30051 40112 58008 69902 71022 82626 333 20075 55046 79999;","Q01  00002PRCP24Q02  00002PRCP12"
"08238099999","2010-01-04T09:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","010,1,N,0010,1","03600,1,9,N","008000,1,N,1","+0080,1","+0062,1","10118,1",,,"2,1,03,1","2,1,03,1",,"07,99,1,02,1,06,1,01250,1,07,1,99,9",,,"99999,9,10058,1","3,1,006,1,+999,9","10,1",,"SYN072AAXX  04094 08238 41658 70102 10080 20062 30058 40118 53006 71022 8267/;",
"08238099999","2010-01-04T12:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","170,1,N,0010,1","00750,1,9,N","010000,1,N,1","+0112,1","+0079,1","10102,1","06,9999,9,9",,"2,1,06,1","2,1,06,1",,"08,99,1,06,1,06,1,00800,1,02,1,99,9",,,"99999,9,10042,1","8,1,016,1,+999,9","50,1",,"SYN078AAXX  04124 08238 11560 81702 10112 20079 30042 40102 58016 69901 75022 8662/;","Q01  00002PRCP06Q02  00002PRCP06"
"08238099999","2010-01-04T15:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","999,9,C,0000,1","00750,1,9,N","001200,1,N,1","+0100,1","+0092,1","10073,1",,,"5,1,03,1","5,1,03,1",,"08,99,1,99,9,07,1,00800,1,02,1,99,9",,,"99999,9,10013,1","7,1,029,1,+999,9","51,1",,"SYN072AAXX  04154 08238 41512 80000 10100 20092 30013 40073 57029 75155 8872/;","Q01+000082SCOTLC"
"08238099999","2010-01-04T18:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","360,1,N,0005,1","00750,1,9,N","001200,1,N,1","+0098,1","+0093,1","10057,1","12,0041,9,1",,"6,1,06,1","5,1,06,1",,"08,99,1,99,9,07,1,00800,1,02,1,99,9",,"999,M,+0117,1","99999,9,09997,1","7,1,016,1,+999,9","61,1",,"SYN088AAXX  04184 08238 11512 83601 10098 20093 39997 40057 57016 60042 76165 8872/ 333 10117;","Q01+000082SCOTLC"
"08238099999","2010-01-05T06:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","999,9,C,0000,1","00750,1,9,N","006000,1,N,1","+0100,1","+0095,1","09997,1","12,0061,9,1","24,0104,9,1","2,1,06,1","2,1,06,1",,"08,99,1,99,9,07,1,00800,1,02,1,99,9","0000,9","999,N,+0097,1","99999,9,09937,1","7,1,012,1,+999,9","10,1",,"SYN100AAXX  05064 08238 11556 80000 10100 20095 39937 49997 57012 60062 71022 8872/ 333 20097 55000 70105;","Q01+000082SCOTLC"
"08238099999","2010-01-05T09:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","330,1,N,0010,1","01200,1,9,N","010000,1,N,1","+0098,1","+0095,1","09997,1",,,"6,1,03,1","2,1,03,1",,"08,99,1,06,1,07,1,01250,1,02,1,99,9",,,"99999,9,09937,1","4,1,000,1,+999,9","20,1",,"SYN072AAXX  05094 08238 41660 83302 10098 20095 39937 49997 56000 72062 8672/;","Q01+000062APCTEN"
"08238099999","2010-01-05T12:00:00","4","40.8166666","0.5","50.0","TORTOSA, SP","FM-12","99999","V020","020,1,N,0026,1","03600,1,9,N","010000,1,N,1","+0136,1","+0100,1","09987,1","06,0000,2,1",,"5,1,06,1","2,1,06,1",,"06,99,1,04,1,07,1,01250,1,02,1,99,9",,,"99999,9,09927,1","6,1,010,1,+999,9","20,1",,"SYN078AAXX  05124 08238 11660 60205 10136 20100 39927 49987 56010 69901 72052 8472/;",
